query_id,query_type,doc_id,rank,tfidf_score
Q2_003,2,NK-9fU8ccRb6H5wPoNYifL3Hq,61,0.245894509
Q2_003,2,us-occ-ac17805eabd67e687d192032463c9663d34c1ba6,62,0.245173951
Q2_003,2,NK-ZkgaWMEy2CTaEbm9qeRpc4,63,0.244794708
Q2_003,2,us-occ-17197-new-york-national-bank,64,0.244260665
Q2_003,2,NK-d6x4tq9Dyr7wc3ptVkXRWk,65,0.243457569
Q2_003,2,NK-SqRatAY2HYyFiTXdfwyoTU,66,0.243154975
Q2_003,2,us-occ-8103d5deabaefd2a014b4c164852ac8e7a0de41d,67,0.243136785
Q2_003,2,NK-WeHDQVjEHdEZdANEBdeebq,68,0.241641801
Q2_003,2,us-occ-8a3acf8854641acda946ab1a7bff56f3527f7095,69,0.241584061
Q2_003,2,us-occ-ad3195020ac7fc0d5e188de484d6c01b4a34e8fe,70,0.241447640
Q2_003,2,NK-Tkuaz9SmZH68BpEQyCmf2t,71,0.240966047
Q2_003,2,us-occ-d6b885897ad9353485b41d5543abda0547ccf722,72,0.240470248
Q2_003,2,NK-U8xPvGaNHnaWWXkWAG35aV,73,0.239427953
Q2_003,2,us-occ-8e352cd19124009629aa21f5e3774d4337a905f5,74,0.239146603
Q2_003,2,NK-P4MYWRFpEU8Apja7Z4XvQH,75,0.238134493
Q2_003,2,NK-gJYYHVoywSRtfsLeggeTgb,76,0.236519578
Q2_003,2,us-sec-pause-f02bfcea2fa9fb95d559d438adef5f5fb26711c4,77,0.236445837
Q2_003,2,us-occ-03aa2662b5b0b468a03b65ffc44660bedf6694c6,78,0.236231621
Q2_003,2,us-occ-83c54d40a2e91989cce6313d9a28237b3de76e22,79,0.234773588
Q2_003,2,NK-CY2DJemtxAkeWfomKaH7sx,80,0.234079960
Q2_003,2,NK-aZTyYQ9hvGtGktF9UUecUg,81,0.233745980
Q2_003,2,NK-eXAVyWMugmReCTCWY42xTk,82,0.233647141
Q2_003,2,us-occ-6b786702ac931c94a53caba4adbb36e0840837b4,83,0.231640793
Q2_003,2,us-occ-18431-eastbank-national-association,84,0.230978897
Q2_003,2,us-fed-excl-brazil-ny-ajah-oliver-29692-ware-shoals,85,0.230033756
Q2_003,2,us-occ-7f560ce2b0560638aed644d16beeecf6baceb315,86,0.229463247
Q2_003,2,us-occ-23a8e900b9682aceb466819dd77a44324b2a5e86,87,0.228851490
Q2_003,2,us-occ-8a8795d2daccf42ca2a12ca18ba0e7b33686863a,88,0.228610901
Q2_003,2,NK-4gnirbZpDA8BTioa5SeAop,89,0.228167420
Q2_003,2,NK-3eD7AZJGoJ6PgSdbWF6tPy,90,0.226858719
Q2_003,2,us-occ-7878-the-first-national-bank-of-downsville,91,0.225051045
Q2_003,2,us-occ-fcf9c3f692399cafb9fb2010b4e82e027193eb59,92,0.224835822
Q2_003,2,NK-NaTumRrGG9zMqSPnHWrDAk,93,0.223614721
Q2_003,2,us-occ-6c0d5a6e265e3fd58b15be3b5836b6dcd4d2e3b1,94,0.223607849
Q2_003,2,us-occ-a2c1021eda779993bb8c34555b659a40eef5a7f9,95,0.222365773
Q2_003,2,NK-8tDd9HjP4q5zpA4RryqywR,96,0.221686327
Q2_003,2,us-occ-8079a649f925dde1ba72291fc022e69a5e16c7a9,97,0.221658104
Q2_003,2,us-occ-8eb5505c3fa60ea08b164708fdbf16474b8db0b8,98,0.221490440
Q2_003,2,NK-TkErhM5aaj2RurtdxxM9op,99,0.221072050
Q2_003,2,us-fed-6c76fcefd21014d7665f167c47829453db7ce07a,100,0.220823140
Q2_004,2,in-sansad-08b068e1bb312d294d7b934c0d12bb3fb639b93b,1,0.473723576
Q2_004,2,NK-228ZdYZVXaZBSBgVwapnks,2,0.350084080
Q2_004,2,NK-SSHSbiSf4yqyCNQHbRwiEh,3,0.338361516
Q2_004,2,NK-ciET47USwkgMGSVLvBLKMA,4,0.328203186
Q2_004,2,Q96988777,5,0.305644671
Q2_004,2,NK-2GaSRGRerkyURsGSHd9x2n,6,0.303856484
Q2_004,2,NK-gPc89wqmsLfU5UVwY68qh4,7,0.300217174
Q2_004,2,in-nse-deb-668307a10f511e97dd85cfd76e6204b962559e85,8,0.288136617
Q2_004,2,in-nse-deb-fd0b82be481cd4d6356bc97af5f73b78130cc804,9,0.288136617
Q2_004,2,evpo-80592ab2-7c43-4599-892d-ec50dcd30f87,10,0.284070324
Q2_004,2,in-nse-deb-99cec83e78bb0c96350bc0575e11e0392a0a308a,11,0.280774577
Q2_004,2,NK-Xw4CsJ6kKVhFXUoEyirwL3,12,0.278894516
Q2_004,2,in-sansad-99fb4fc08ea6a89573e89a62d403ef1b7693bb5b,13,0.273529476
Q2_004,2,in-nse-deb-f089f695eac2368b5c439d28be2b6dfeb9a548ba,14,0.267287575
Q2_004,2,Q96987612,15,0.266653978
Q2_004,2,Q56391112,16,0.264524247
Q2_004,2,NK-CcsJRSPDDMX2h79wDAHCDD,17,0.263468576
Q2_004,2,Q115606328,18,0.256565930
Q2_004,2,Q85991292,19,0.252066107
Q2_004,2,Q96988720,20,0.251384770
Q2_004,2,ch-finmawa-salvisberg-asset-management-sh-asset-management-ag,21,0.250344437
Q2_004,2,NK-BtpRw8FkkRu9yoMBPFGDgx,22,0.246950879
Q2_004,2,us-bis-export-d31550677e442bafc1eabaad85d9c730ec66eaf1,23,0.241053364
Q2_004,2,NK-V7nHxoTfXWqxagjj8Jpiao,24,0.240318278
Q2_004,2,Q28723779,25,0.237628818
